OID_,block_vtda,state,Shape_Length,Shape_Area,ID,OBJECTID,Join_Count,TARGET_FID,ID_1,DISTRICT,POPULATION,sld_u22,Shape_Length_1,Shape_Area_1
1521,35045000001,35,1.030153790522164,0.031413464189000,1520,1521,1,1521,23,3,47240,35003,8.518162176062154,0.751500889506999
1522,35045000002,35,0.076712344321410,0.000265552796500,1521,1522,1,1522,23,3,47240,35003,8.518162176062154,0.751500889506999
1523,35045000003,35,0.519455645625249,0.008628503177499,1522,1523,1,1523,23,3,47240,35003,8.518162176062154,0.751500889506999
1524,35045000004,35,0.156736328730492,0.000794411984500,1523,1524,1,1524,23,3,47240,35003,8.518162176062154,0.751500889506999
1525,35045000005,35,0.261094987400789,0.002314802579500,1524,1525,1,1525,23,3,47240,35003,8.518162176062154,0.751500889506999
1526,35045000006,35,0.856863803056576,0.023432664465000,1525,1526,1,1526,23,3,47240,35003,8.518162176062154,0.751500889506999
1527,35045000007,35,1.248162028311561,0.050495725162501,1526,1527,1,1527,23,3,47240,35003,8.518162176062154,0.751500889506999
1528,35045000008,35,1.813026545754008,0.113815097532502,1527,1528,1,1528,34,4,48235,35004,9.749321293540461,1.013702349485003
1529,35045000009,35,1.193086303271810,0.048157077688499,1528,1529,1,1529,34,4,48235,35004,9.749321293540461,1.013702349485003
1530,35045000010,35,1.124274705769150,0.029444283473501,1529,1530,1,1530,34,4,48235,35004,9.749321293540461,1.013702349485003
1531,35045000011,35,1.299893663213110,0.038236386112499,1530,1531,1,1531,34,4,48235,35004,9.749321293540461,1.013702349485003
1532,35045000012,35,0.838134266644063,0.019106622252001,1531,1532,1,1532,34,4,48235,35004,9.749321293540461,1.013702349485003
1533,35045000013,35,1.361044262118400,0.055993764044999,1532,1533,1,1533,23,3,47240,35003,8.518162176062154,0.751500889506999
1534,35045000014,35,1.940008972546942,0.105644250593502,1533,1534,1,1534,15,22,49066,35022,13.039145162355252,2.844550826013508
1535,35045000015,35,1.544088328126382,0.095316484924499,1534,1535,1,1535,15,22,49066,35022,13.039145162355252,2.844550826013508
1536,35045000016,35,2.252118047577089,0.171187702063502,1535,1536,1,1536,15,22,49066,35022,13.039145162355252,2.844550826013508
1537,35045000017,35,1.550156547862604,0.083597737715000,1536,1537,1,1537,23,3,47240,35003,8.518162176062154,0.751500889506999
1538,35045000018,35,1.555351444354984,0.073518859204500,1537,1538,1,1538,23,3,47240,35003,8.518162176062154,0.751500889506999
1539,35045000019,35,0.413441466255253,0.007267017241500,1538,1539,1,1539,1,1,47068,35001,1.544650114391072,0.043527367594502
1540,35045000020,35,0.436292743377245,0.008676759708500,1539,1540,1,1540,23,3,47240,35003,8.518162176062154,0.751500889506999
1541,35045000021,35,0.831865594510845,0.025262144912001,1540,1541,1,1541,1,1,47068,35001,1.544650114391072,0.043527367594502
1542,35045000022,35,0.169254631792999,0.000724400282500,1541,1542,1,1542,1,1,47068,35001,1.544650114391072,0.043527367594502
1543,35045000023,35,0.164377863837385,0.000715830398500,1542,1543,1,1543,1,1,47068,35001,1.544650114391072,0.043527367594502
1544,35045000024,35,0.139390871132324,0.000451876737000,1543,1544,1,1544,23,3,47240,35003,8.518162176062154,0.751500889506999
1545,35045000025,35,0.141084472072210,0.000594258897500,1544,1545,1,1545,1,1,47068,35001,1.544650114391072,0.043527367594502
1546,35045000026,35,0.149852429340439,0.001194203365500,1545,1546,1,1546,1,1,47068,35001,1.544650114391072,0.043527367594502
1547,35045000027,35,0.156962863814075,0.000854903044000,1546,1547,1,1547,1,1,47068,35001,1.544650114391072,0.043527367594502
1548,35045000028,35,0.042916037045982,0.000100750803000,1547,1548,1,1548,1,1,47068,35001,1.544650114391072,0.043527367594502
1549,35045000029,35,0.042868796447946,0.000079627703500,1548,1549,1,1549,1,1,47068,35001,1.544650114391072,0.043527367594502
1550,35045000030,35,0.054302468202027,0.000145195192000,1549,1550,1,1550,1,1,47068,35001,1.544650114391072,0.043527367594502
1551,35045000031,35,0.049422258611055,0.000125390061500,1550,1551,1,1551,1,1,47068,35001,1.544650114391072,0.043527367594502
1552,35045000032,35,0.033081606244800,0.000066282776500,1551,1552,1,1552,1,1,47068,35001,1.544650114391072,0.043527367594502
1553,35045000033,35,0.044125333038773,0.000086159023500,1552,1553,1,1553,1,1,47068,35001,1.544650114391072,0.043527367594502
1554,35045000034,35,0.053588431489525,0.000108008889000,1553,1554,1,1554,1,1,47068,35001,1.544650114391072,0.043527367594502
1555,35045000035,35,0.112104918588394,0.000299137697500,1554,1555,1,1555,1,1,47068,35001,1.544650114391072,0.043527367594502
1556,35045000036,35,0.036543038996204,0.000064380918500,1555,1556,1,1556,1,1,47068,35001,1.544650114391072,0.043527367594502
1557,35045000037,35,0.027341111559688,0.000046821325000,1556,1557,1,1557,1,1,47068,35001,1.544650114391072,0.043527367594502
1558,35045000038,35,0.041092484540598,0.000097912921000,1557,1558,1,1558,1,1,47068,35001,1.544650114391072,0.043527367594502
1559,35045000039,35,0.043708909369137,0.000113444678500,1558,1559,1,1559,1,1,47068,35001,1.544650114391072,0.043527367594502
1560,35045000040,35,0.046356388754354,0.000136623946500,1559,1560,1,1560,1,1,47068,35001,1.544650114391072,0.043527367594502
1561,35045000041,35,0.066836962799453,0.000211922126000,1560,1561,1,1561,12,2,47318,35002,2.910850179561819,0.224440330284999
1562,35045000042,35,0.097512696900832,0.000339655848500,1561,1562,1,1562,12,2,47318,35002,2.910850179561819,0.224440330284999
1563,35045000043,35,0.043709760276056,0.000114577087500,1562,1563,1,1563,1,1,47068,35001,1.544650114391072,0.043527367594502
