,block_vtda,total,nh_black,weighted_blk_sl_dist
832,51081000403,421,174,14124.513360721106
833,51083000101,1453,396,31335.875126606632
834,51083000102,933,235,20338.574607353505
835,51083000103,1673,674,35866.08099990484
836,51083000201,1131,258,25253.616773135895
837,51083000202,1211,319,26706.32408089293
838,51083000203,1721,673,39683.73676411393
839,51083000302,664,373,14192.290940767354
840,51083000304,1153,298,24578.084505148552
841,51083000305,2551,1456,55950.743277517584
842,51083000401,2010,751,44593.42677313855
843,51083000403,1991,616,44369.30164327219
844,51083000502,3094,807,69273.35205537333
845,51083000503,1323,227,30309.232848393265
846,51083000601,1661,413,36754.34657111135
847,51083000603,1980,679,42503.092123640985
848,51083000605,709,217,15525.556929327528
849,51083000701,2076,344,46462.73452303379
850,51083000702,1368,180,31716.701968206562
851,51083000703,1029,176,23890.268289400214
852,51083000801,4291,2646,95636.05265927961
853,51085000101,3361,468,91356.51430455835
854,51085000104,3012,303,84478.11114845227
855,51085000105,4204,1038,113657.52842920121
856,51085000106,1545,84,43488.054310900196
857,51085000107,2137,138,60280.60018964617
858,51085000201,4145,228,80205.57018176955
859,51085000202,1690,234,42218.15873246878
860,51085000203,2695,126,68014.93590788932
861,51085000206,3250,508,89571.09989115513
862,51085000208,2604,155,73257.5888586991
863,51085000209,835,96,17871.06794601511
864,51085000210,882,25,23637.10212352929
865,51085000301,3516,267,101912.4969326156
866,51085000303,3355,234,96596.50066458993
867,51085000304,7960,616,226663.20956850066
868,51085000305,3401,134,96130.69811963254
869,51085000401,3338,173,101025.52232355853
870,51085000403,4505,350,135540.01126965397
871,51085000404,3569,121,111918.17189316134
872,51085000405,2209,200,65816.35385738744
873,51085000406,1024,93,30612.14971229916
874,51085000502,3457,208,100389.92504632521
875,51085000503,3272,367,96613.11368895901
876,51085000504,1979,73,57354.05547579766
877,51085000505,1638,110,49091.418068047555
878,51085000506,2523,209,72044.73414539869
879,51085000507,3273,198,96192.76563821948
880,51085000601,5070,304,148786.6136155648
881,51085000602,4592,405,136405.75917759608
882,51085000603,3679,744,109192.58613579992
883,51085000604,2471,147,72291.29948356633
884,51085000701,3213,206,82685.53612776914
885,51085000702,2868,426,63804.790370551826
886,51085000703,2920,226,64543.976701557316
887,51085000704,4141,362,113848.03610098462
888,51085000705,1646,102,38764.230819613615
889,51087000101,6017,543,162366.78080362212
890,51087000102,6728,2142,186662.78891365367
891,51087000103,6396,1045,175034.04754223206
892,51087000105,5189,834,146890.18578127734
893,51087000106,6380,1606,177428.60806136663
894,51087000108,5402,664,147716.1897189365
895,51087000109,1424,144,39310.16548394805
896,51087000110,7954,2120,223898.06880515514
897,51087000111,6249,762,176862.00555953066
898,51087000112,4738,786,129253.02892779902
899,51087000113,1781,347,49733.31256137741
900,51087000114,1310,22,37239.50813319297
901,51087000115,5116,806,141197.16134675
902,51087000117,2779,169,79606.35871578321
903,51087000201,2832,2332,87642.71354633791
904,51087000202,6367,4403,185277.9974297364
905,51087000203,3809,1341,109397.97960149017
906,51087000204,1109,226,30907.69900016824
907,51087000205,453,8,13151.683672038887
908,51087000206,3738,3372,112466.1530324541
909,51087000207,3288,1627,94368.39654655424
910,51087000208,4432,3712,135175.24856109792
911,51087000209,2495,1801,74236.54472100076
912,51087000210,2403,1223,67024.5551301723
