plan,dist,statefips,state,black_alone,black_combo,pop,nh_white,hisp,seg_hisp,seg_nh_white,seg_nh_black,seg_black_alone,seg_black_combo
2223,5,01,AL,110508,121926,718560,492205,61370,1.2208173,-1.0815729,-.39090517,-.38190112,-.36866966
2223,3,01,AL,118307,127650,715231,520950,36614,-.80605894,8.7762957,-8.0516701,-8.0758781,-7.9912939
2223,1,01,AL,191575,201299,717488,452808,26775,.030574303,.39892483,-.25391909,-.25770903,-.28304285
2223,2,01,AL,204544,216310,718731,435514,33356,.31970543,7.580595,-8.1815176,-8.1923246,-8.1278639
2223,6,01,AL,286240,294883,720135,360902,36140,-.39470059,-2.7818038,3.5570471,3.5642707,3.5936794
2223,7,01,AL,315076,325032,718454,342434,27060,-.88040596,-5.663095,7.2808318,7.3053265,7.3438993
2224,4,01,AL,77469,85721,716593,559470,40501,-.8164326,9.4214392,-8.3183231,-8.3635283,-8.4775705
2224,5,01,AL,110573,121984,718482,492159,61305,1.2127556,-1.078325,-.38244763,-.37343523,-.36109108
2224,7,01,AL,165253,173720,716804,484415,33572,-1.002908,6.4457912,-4.5263057,-4.567616,-4.7127318
2224,1,01,AL,179129,189086,718632,464857,27486,.02340355,1.8324558,-1.7581266,-1.7605182,-1.7670562
2224,3,01,AL,191719,202066,718794,450009,34589,.12821293,6.9680867,-7.077714,-7.0845103,-7.0115433
2224,6,01,AL,284894,293590,717647,359937,36541,-.30797634,-2.3451936,3.0560076,3.0635953,3.1057851
2224,2,01,AL,287125,298569,717327,360504,30053,-.073315017,-1.9370055,2.202384,2.2165136,2.2862678
2225,4,01,AL,51507,59270,715004,573900,51758,.37316653,9.1716061,-8.6868944,-8.7481241,-8.9749174
2225,5,01,AL,120383,132293,718750,491353,52098,.1015671,-.65792704,.29192895,.30413717,.34739536
2225,3,01,AL,131084,140055,717248,513413,34864,-.58861917,9.5460634,-8.6686125,-8.7077341,-8.7010984
2225,1,01,AL,187591,197509,719962,457082,27199,.042551704,.4518885,-.50607985,-.50892895,-.51283115
2225,2,01,AL,199165,210877,718798,442630,33459,.28608692,9.3375654,-9.7104607,-9.7270126,-9.6660948
2225,6,01,AL,284619,293304,717817,360706,36252,-.35006079,-2.2659214,3.0253553,3.0326736,3.0731318
2225,7,01,AL,321813,331428,716700,332267,28417,-.69743681,-6.2682471,7.441669,7.47684,7.4872751
2226,4,01,AL,51507,59270,715004,573900,51758,.37316653,9.1716061,-8.6868944,-8.7481241,-8.9749174
2226,5,01,AL,120383,132293,718750,491353,52098,.1015671,-.65792704,.29192895,.30413717,.34739536
2226,3,01,AL,131084,140055,717248,513413,34864,-.58861917,9.5460634,-8.6686125,-8.7077341,-8.7010984
2226,1,01,AL,187591,197509,719962,457082,27199,.042551704,.4518885,-.50607985,-.50892895,-.51283115
2226,2,01,AL,199165,210877,718798,442630,33459,.28608692,9.3375654,-9.7104607,-9.7270126,-9.6660948
2226,6,01,AL,284619,293304,717817,360706,36252,-.35006079,-2.2659214,3.0253553,3.0326736,3.0731318
2226,7,01,AL,321813,331428,716700,332267,28417,-.69743681,-6.2682471,7.441669,7.47684,7.4872751
2227,4,01,AL,51507,59270,715004,573900,51758,.37316653,9.1716061,-8.6868944,-8.7481241,-8.9749174
2227,5,01,AL,120383,132293,718750,491353,52098,.1015671,-.65792704,.29192895,.30413717,.34739536
2227,3,01,AL,131084,140055,717248,513413,34864,-.58861917,9.5460634,-8.6686125,-8.7077341,-8.7010984
2227,1,01,AL,187591,197509,719962,457082,27199,.042551704,.4518885,-.50607985,-.50892895,-.51283115
2227,2,01,AL,199165,210877,718798,442630,33459,.28608692,9.3375654,-9.7104607,-9.7270126,-9.6660948
2227,6,01,AL,284619,293304,717817,360706,36252,-.35006079,-2.2659214,3.0253553,3.0326736,3.0731318
2227,7,01,AL,321813,331428,716700,332267,28417,-.69743681,-6.2682471,7.441669,7.47684,7.4872751
2228,4,01,AL,51507,59270,715004,573900,51758,.37316653,9.1716061,-8.6868944,-8.7481241,-8.9749174
2228,5,01,AL,120383,132293,718750,491353,52098,.1015671,-.65792704,.29192895,.30413717,.34739536
2228,3,01,AL,131084,140055,717248,513413,34864,-.58861917,9.5460634,-8.6686125,-8.7077341,-8.7010984
2228,1,01,AL,187591,197509,719962,457082,27199,.042551704,.4518885,-.50607985,-.50892895,-.51283115
2228,2,01,AL,199165,210877,718798,442630,33459,.28608692,9.3375654,-9.7104607,-9.7270126,-9.6660948
2228,6,01,AL,284619,293304,717817,360706,36252,-.35006079,-2.2659214,3.0253553,3.0326736,3.0731318
2228,7,01,AL,321813,331428,716700,332267,28417,-.69743681,-6.2682471,7.441669,7.47684,7.4872751
2229,4,01,AL,51507,59270,715004,573900,51758,.37316653,9.1716061,-8.6868944,-8.7481241,-8.9749174
2229,5,01,AL,120383,132293,718750,491353,52098,.1015671,-.65792704,.29192895,.30413717,.34739536
2229,3,01,AL,131084,140055,717248,513413,34864,-.58861917,9.5460634,-8.6686125,-8.7077341,-8.7010984
2229,1,01,AL,187591,197509,719962,457082,27199,.042551704,.4518885,-.50607985,-.50892895,-.51283115
2229,2,01,AL,199165,210877,718798,442630,33459,.28608692,9.3375654,-9.7104607,-9.7270126,-9.6660948
2229,6,01,AL,284619,293304,717817,360706,36252,-.35006079,-2.2659214,3.0253553,3.0326736,3.0731318
2229,7,01,AL,321813,331428,716700,332267,28417,-.69743681,-6.2682471,7.441669,7.47684,7.4872751
2230,4,01,AL,51507,59270,715004,573900,51758,.37316653,9.1716061,-8.6868944,-8.7481241,-8.9749174
2230,5,01,AL,120383,132293,718750,491353,52098,.1015671,-.65792704,.29192895,.30413717,.34739536
2230,3,01,AL,131084,140055,717248,513413,34864,-.58861917,9.5460634,-8.6686125,-8.7077341,-8.7010984
2230,1,01,AL,187591,197509,719962,457082,27199,.042551704,.4518885,-.50607985,-.50892895,-.51283115
2230,2,01,AL,199165,210877,718798,442630,33459,.28608692,9.3375654,-9.7104607,-9.7270126,-9.6660948
2230,6,01,AL,284619,293304,717817,360706,36252,-.35006079,-2.2659214,3.0253553,3.0326736,3.0731318
2230,7,01,AL,321813,331428,716700,332267,28417,-.69743681,-6.2682471,7.441669,7.47684,7.4872751
2231,4,01,AL,51507,59270,715004,573900,51758,.37316653,9.1716061,-8.6868944,-8.7481241,-8.9749174
2231,5,01,AL,120383,132293,718750,491353,52098,.1015671,-.65792704,.29192895,.30413717,.34739536
2231,3,01,AL,131084,140055,717248,513413,34864,-.58861917,9.5460634,-8.6686125,-8.7077341,-8.7010984
2231,1,01,AL,187591,197509,719962,457082,27199,.042551704,.4518885,-.50607985,-.50892895,-.51283115
2231,2,01,AL,199165,210877,718798,442630,33459,.28608692,9.3375654,-9.7104607,-9.7270126,-9.6660948
2231,6,01,AL,284619,293304,717817,360706,36252,-.35006079,-2.2659214,3.0253553,3.0326736,3.0731318
2231,7,01,AL,321813,331428,716700,332267,28417,-.69743681,-6.2682471,7.441669,7.47684,7.4872751
2232,4,01,AL,51507,59270,715004,573900,51758,.37316653,9.1716061,-8.6868944,-8.7481241,-8.9749174
2232,5,01,AL,120383,132293,718750,491353,52098,.1015671,-.65792704,.29192895,.30413717,.34739536
2232,3,01,AL,131084,140055,717248,513413,34864,-.58861917,9.5460634,-8.6686125,-8.7077341,-8.7010984
2232,1,01,AL,187591,197509,719962,457082,27199,.042551704,.4518885,-.50607985,-.50892895,-.51283115
2232,2,01,AL,199165,210877,718798,442630,33459,.28608692,9.3375654,-9.7104607,-9.7270126,-9.6660948
2232,6,01,AL,284619,293304,717817,360706,36252,-.35006079,-2.2659214,3.0253553,3.0326736,3.0731318
2232,7,01,AL,321813,331428,716700,332267,28417,-.69743681,-6.2682471,7.441669,7.47684,7.4872751
2233,4,01,AL,51507,59270,715004,573900,51758,.37316653,9.1716061,-8.6868944,-8.7481241,-8.9749174
2233,5,01,AL,120383,132293,718750,491353,52098,.1015671,-.65792704,.29192895,.30413717,.34739536
2233,3,01,AL,131084,140055,717248,513413,34864,-.58861917,9.5460634,-8.6686125,-8.7077341,-8.7010984
2233,1,01,AL,187591,197509,719962,457082,27199,.042551704,.4518885,-.50607985,-.50892895,-.51283115
2233,2,01,AL,199165,210877,718798,442630,33459,.28608692,9.3375654,-9.7104607,-9.7270126,-9.6660948
2233,6,01,AL,284619,293304,717817,360706,36252,-.35006079,-2.2659214,3.0253553,3.0326736,3.0731318
2233,7,01,AL,321813,331428,716700,332267,28417,-.69743681,-6.2682471,7.441669,7.47684,7.4872751
2234,4,01,AL,51507,59270,715004,573900,51758,.37316653,9.1716061,-8.6868944,-8.7481241,-8.9749174
2234,5,01,AL,120383,132293,718750,491353,52098,.1015671,-.65792704,.29192895,.30413717,.34739536
2234,3,01,AL,131084,140055,717248,513413,34864,-.58861917,9.5460634,-8.6686125,-8.7077341,-8.7010984
2234,1,01,AL,187591,197509,719962,457082,27199,.042551704,.4518885,-.50607985,-.50892895,-.51283115
2234,2,01,AL,199165,210877,718798,442630,33459,.28608692,9.3375654,-9.7104607,-9.7270126,-9.6660948
2234,6,01,AL,284619,293304,717817,360706,36252,-.35006079,-2.2659214,3.0253553,3.0326736,3.0731318
2234,7,01,AL,321813,331428,716700,332267,28417,-.69743681,-6.2682471,7.441669,7.47684,7.4872751
2235,4,01,AL,51507,59270,715004,573900,51758,.37316653,9.1716061,-8.6868944,-8.7481241,-8.9749174
2235,5,01,AL,120383,132293,718750,491353,52098,.1015671,-.65792704,.29192895,.30413717,.34739536
2235,3,01,AL,131084,140055,717248,513413,34864,-.58861917,9.5460634,-8.6686125,-8.7077341,-8.7010984
2235,1,01,AL,187591,197509,719962,457082,27199,.042551704,.4518885,-.50607985,-.50892895,-.51283115
2235,2,01,AL,199165,210877,718798,442630,33459,.28608692,9.3375654,-9.7104607,-9.7270126,-9.6660948
2235,6,01,AL,284619,293304,717817,360706,36252,-.35006079,-2.2659214,3.0253553,3.0326736,3.0731318
2235,7,01,AL,321813,331428,716700,332267,28417,-.69743681,-6.2682471,7.441669,7.47684,7.4872751
2236,4,01,AL,51507,59270,715004,573900,51758,.37316653,9.1716061,-8.6868944,-8.7481241,-8.9749174
2236,5,01,AL,120383,132293,718750,491353,52098,.1015671,-.65792704,.29192895,.30413717,.34739536
2236,3,01,AL,131084,140055,717248,513413,34864,-.58861917,9.5460634,-8.6686125,-8.7077341,-8.7010984
2236,1,01,AL,187591,197509,719962,457082,27199,.042551704,.4518885,-.50607985,-.50892895,-.51283115
2236,2,01,AL,199165,210877,718798,442630,33459,.28608692,9.3375654,-9.7104607,-9.7270126,-9.6660948
2236,6,01,AL,284619,293304,717817,360706,36252,-.35006079,-2.2659214,3.0253553,3.0326736,3.0731318
2236,7,01,AL,321813,331428,716700,332267,28417,-.69743681,-6.2682471,7.441669,7.47684,7.4872751
2237,4,01,AL,51507,59270,715004,573900,51758,.37316653,9.1716061,-8.6868944,-8.7481241,-8.9749174
2237,5,01,AL,120383,132293,718750,491353,52098,.1015671,-.65792704,.29192895,.30413717,.34739536
2237,3,01,AL,131084,140055,717248,513413,34864,-.58861917,9.5460634,-8.6686125,-8.7077341,-8.7010984
2237,1,01,AL,187591,197509,719962,457082,27199,.042551704,.4518885,-.50607985,-.50892895,-.51283115
2237,2,01,AL,199165,210877,718798,442630,33459,.28608692,9.3375654,-9.7104607,-9.7270126,-9.6660948
2237,6,01,AL,284619,293304,717817,360706,36252,-.35006079,-2.2659214,3.0253553,3.0326736,3.0731318
2237,7,01,AL,321813,331428,716700,332267,28417,-.69743681,-6.2682471,7.441669,7.47684,7.4872751
2238,4,01,AL,51507,59270,715004,573900,51758,.37316653,9.1716061,-8.6868944,-8.7481241,-8.9749174
2238,5,01,AL,120383,132293,718750,491353,52098,.1015671,-.65792704,.29192895,.30413717,.34739536
2238,3,01,AL,131084,140055,717248,513413,34864,-.58861917,9.5460634,-8.6686125,-8.7077341,-8.7010984
2238,1,01,AL,187591,197509,719962,457082,27199,.042551704,.4518885,-.50607985,-.50892895,-.51283115
2238,2,01,AL,199165,210877,718798,442630,33459,.28608692,9.3375654,-9.7104607,-9.7270126,-9.6660948
2238,6,01,AL,284619,293304,717817,360706,36252,-.35006079,-2.2659214,3.0253553,3.0326736,3.0731318
2238,7,01,AL,321813,331428,716700,332267,28417,-.69743681,-6.2682471,7.441669,7.47684,7.4872751
2239,4,01,AL,51507,59270,715004,573900,51758,.37316653,9.1716061,-8.6868944,-8.7481241,-8.9749174
2239,5,01,AL,120383,132293,718750,491353,52098,.1015671,-.65792704,.29192895,.30413717,.34739536
