geoid,block_vtda,total
350010001223010,35001000492,38
350010001223011,35001000491,37
350010001223012,35001000491,56
350010001223013,35001000491,44
350010001223014,35001000491,20
350010001223015,35001000491,47
350010001223016,35001000491,21
350010001223017,35001000491,177
350010001223018,35001000491,23
350010001223019,35001000492,23
350010001223020,35001000492,25
350010001224000,35001000413,19
350010001224001,35001000413,53
350010001224002,35001000413,0
350010001224003,35001000413,0
350010001224004,35001000413,0
350010001224005,35001000413,533
350010001224006,35001000413,16
350010001224007,35001000413,15
350010001224008,35001000413,0
350010001224009,35001000413,0
350010001224010,35001000413,69
350010001224011,35001000413,22
350010001224012,35001000413,24
350010001224013,35001000415,34
350010001224014,35001000415,43
350010001224015,35001000413,94
350010001224016,35001000413,74
350010001224017,35001000415,26
350010001224018,35001000415,62
350010001224019,35001000415,56
350010001224020,35001000415,46
350010001224021,35001000415,28
350010001224022,35001000415,38
350010001224023,35001000415,45
350010001224024,35001000415,53
350010001224025,35001000413,83
350010001224026,35001000413,25
350010001224027,35001000415,0
350010001224028,35001000415,32
350010001231000,35001000474,30
350010001231001,35001000474,45
350010001231002,35001000473,32
350010001231003,35001000473,62
350010001231004,35001000473,0
350010001231005,35001000473,56
350010001231006,35001000473,38
350010001231007,35001000473,39
350010001231008,35001000473,35
350010001231009,35001000474,63
350010001231010,35001000474,50
350010001231011,35001000474,31
350010001231012,35001000474,81
350010001231013,35001000473,51
350010001231014,35001000473,47
350010001232000,35001000474,38
350010001232001,35001000474,92
350010001232002,35001000474,0
350010001232003,35001000474,63
350010001232004,35001000473,55
350010001232005,35001000473,45
350010001232006,35001000473,48
350010001232007,35001000473,37
350010001232008,35001000473,31
350010001232009,35001000473,0
350010001232010,35001000473,99
350010001232011,35001000473,54
350010001232012,35001000474,98
350010001232013,35001000476,94
350010001232014,35001000476,37
350010001232015,35001000476,103
350010001232016,35001000476,56
350010001232017,35001000476,74
350010001233000,35001000476,85
350010001233001,35001000476,56
350010001233002,35001000476,29
350010001233003,35001000475,0
350010001233004,35001000476,59
350010001233005,35001000476,78
350010001233006,35001000476,84
350010001233007,35001000476,48
350010001233008,35001000476,37
350010001233009,35001000476,48
350010001233010,35001000476,57
350010001233011,35001000476,90
350010001233012,35001000476,0
350010001233013,35001000476,33
350010001233014,35001000475,118
350010001233015,35001000475,141
350010001234000,35001000475,45
350010001234001,35001000475,35
350010001234002,35001000475,60
350010001234003,35001000475,49
350010001234004,35001000475,59
350010001234005,35001000475,57
350010001234006,35001000475,61
350010001234007,35001000475,53
350010001234008,35001000475,43
350010001234009,35001000475,51
350010001234010,35001000475,49
350010001234011,35001000475,47
350010001234012,35001000475,211
350010001234013,35001000475,46
350010001234014,35001000475,57
350010001234015,35001000475,63
350010001234016,35001000475,79
350010001235000,35001000471,86
350010001235001,35001000471,39
350010001235002,35001000471,112
350010001235003,35001000471,91
350010001235004,35001000471,117
350010001235005,35001000472,50
350010001235006,35001000471,53
350010001235007,35001000472,17
350010001235008,35001000472,83
350010001235009,35001000472,71
350010001235010,35001000472,54
350010001235011,35001000472,83
350010001235012,35001000472,47
350010001235013,35001000471,57
350010001235014,35001000471,44
350010001235015,35001000471,68
350010001235016,35001000472,62
350010001235017,35001000472,37
