,block_vtda,DISTRICT
754,35009000023,7
755,35009000024,7
756,35009000025,7
757,35009000026,7
758,35009000027,7
759,35009000028,27
760,35009000029,27
761,35009000030,27
762,35009000031,27
763,35009000032,7
764,35009000033,27
765,35009000034,7
766,35009000035,7
767,35009000036,27
768,35009000037,7
769,35009000038,7
770,35009000039,7
771,35009000040,7
772,35009000041,7
773,35009000042,7
774,35011000001,27
775,35011000002,27
776,35011000003,27
777,35011000004,27
778,35013000001,36
779,35013000002,36
780,35013000003,35
781,35013000004,36
782,35013000005,35
783,35013000006,37
784,35013000007,38
785,35013000008,38
786,35013000009,38
787,35013000010,38
788,35013000011,31
789,35013000012,31
790,35013000013,31
791,35013000014,38
792,35013000015,31
793,35013000016,38
794,35013000017,38
795,35013000018,38
796,35013000019,38
797,35013000020,36
798,35013000021,35
799,35013000022,36
800,35013000023,38
801,35013000024,36
802,35013000025,36
803,35013000026,37
804,35013000027,37
805,35013000028,37
806,35013000029,36
807,35013000030,36
808,35013000031,38
809,35013000032,36
810,35013000033,36
811,35013000034,36
812,35013000035,36
813,35013000036,36
814,35013000037,38
815,35013000038,38
816,35013000039,38
817,35013000040,38
818,35013000041,36
819,35013000042,36
820,35013000043,36
821,35013000044,36
822,35013000045,37
823,35013000046,37
824,35013000047,37
825,35013000048,36
826,35013000049,38
827,35013000050,37
828,35013000051,37
829,35013000052,37
830,35013000053,38
831,35013000054,38
832,35013000055,38
833,35013000056,38
834,35013000057,38
835,35013000058,38
836,35013000059,37
837,35013000060,36
838,35013000061,36
839,35013000062,35
840,35013000063,36
841,35013000064,35
842,35013000065,35
843,35013000066,35
844,35013000067,37
845,35013000068,37
846,35013000069,37
847,35013000070,37
848,35013000071,37
849,35013000072,37
850,35013000073,37
851,35013000074,31
852,35013000075,31
853,35013000076,31
854,35013000077,37
855,35013000078,38
856,35013000079,38
857,35013000080,31
858,35013000081,31
859,35013000082,38
860,35013000083,36
861,35013000084,36
862,35013000085,36
863,35013000086,36
864,35013000087,36
865,35013000088,36
866,35013000089,36
867,35013000090,36
868,35013000091,37
869,35013000092,36
870,35013000093,36
871,35013000094,36
872,35013000095,36
873,35013000096,38
874,35013000097,31
875,35013000098,38
876,35013000099,36
877,35013000100,35
878,35013000101,38
879,35013000102,37
880,35013000103,37
881,35013000104,31
882,35013000105,35
883,35013000106,37
884,35013000107,35
885,35013000108,38
886,35013000109,36
887,35013000110,37
888,35013000111,36
889,35013000112,37
890,35013000113,37
891,35013000114,31
892,35013000115,36
893,35013000116,37
894,35013000117,37
895,35013000118,35
896,35013000119,35
897,35013000120,31
898,35013000121,35
899,35013000122,35
900,35013000123,36
901,35013000124,36
902,35013000125,36
903,35013000126,36
904,35013000127,36
905,35013000128,35
906,35013000129,35
907,35013000130,37
908,35013000131,37
909,35013000132,35
910,35013000133,37
911,35013000134,35
912,35013000135,36
913,35013000136,36
914,35013000137,37
915,35013000138,37
916,35013000139,37
917,35013000140,37
918,35013000141,37
919,35013000142,37
920,35013000143,37
921,35013000144,37
922,35013000145,36
923,35013000146,38
924,35013000147,38
925,35013000148,38
926,35013000149,37
927,35013000150,38
928,35013000151,38
929,35013000152,31
930,35013000153,37
931,35013000154,38
932,35013000155,38
933,35013000156,38
934,35013000157,31
935,35013000158,31
936,35013000159,31
937,35013000160,31
938,35013000161,31
939,35013000162,31
940,35013000163,31
941,35013000164,31
942,35013000165,31
943,35013000166,31
944,35013000167,31
945,35013000168,31
946,35013000169,31
947,35013000170,31
948,35015000001,32
949,35015000002,32
950,35015000003,32
951,35015000004,32
952,35015000005,42
953,35015000006,34
954,35015000007,34
955,35015000008,32
956,35015000009,41
957,35015000010,41
958,35015000011,41
959,35015000012,42
960,35015000013,34
961,35015000014,34
962,35015000015,34
963,35015000016,34
964,35015000017,34
965,35015000018,34
966,35015000019,42
967,35015000020,42
968,35015000021,34
969,35015000022,32
970,35015000023,34
971,35015000024,42
972,35015000025,34
973,35015000026,34
974,35015000027,42
975,35015000028,42
976,35015000029,34
977,35015000030,34
978,35015000031,32
979,35015000032,41
980,35015000033,41
981,35015000034,34
982,35015000035,34
983,35015000036,42
984,35015000037,42
985,35015000038,34
986,35015000039,42
987,35015000040,34
988,35015000041,32
989,35015000042,42
990,35015000043,32
991,35015000044,41
992,35015000045,42
993,35015000046,42
994,35015000047,42
995,35015000048,42
996,35015000049,41
997,35015000050,41
998,35015000051,41
999,35015000052,41
1000,35015000053,32
1001,35017000001,35
1002,35017000002,35
1003,35017000003,35
1004,35017000004,35
1005,35017000005,35
1006,35017000006,35
1007,35017000007,28
