,block_vtda,total,nh_black,weighted_blk_sl_dist
1742,220610004-2,908,354,34017.99132012971
1743,220610004-3,1205,25,43887.46623124195
1744,220610004-4,570,23,21244.37221193453
1745,220610004-5,483,77,18137.0270115505
1746,220610004-6,286,20,10464.75468318463
1747,220610005-1,1142,133,38941.58639627665
1748,220610005-2,1331,29,47180.041401870556
1749,220610005-3,1076,53,38376.56420796534
1750,220610005-4,989,61,34551.98579453342
1751,220610006-1,3268,783,120332.84376066961
1752,220610006-2,227,21,8438.804003002198
1753,220610006-3,673,58,24675.93059345321
1754,220610007-1,566,43,20806.345023936305
1755,220610007-2,3560,523,130211.48303212025
1756,220610008-1,1485,423,53850.67311625134
1757,220610008-2,2321,178,83941.32034274226
1758,220610008-3,468,177,17094.024729471406
1759,220610008-4,156,28,5713.93702970077
1760,220610009-1,2405,1840,87092.49910176107
1761,220610009-2,455,92,16649.310575060063
1762,220610009-3,235,29,8606.993738447023
1763,220610009-4,451,199,16377.694297154276
1764,220610009-5,119,12,4280.287969938523
1765,220610010-1,1219,1075,43909.608285253664
1766,220610010-2,172,66,6212.073715545979
1767,220610010-3,445,83,15701.410203892148
1768,220610010-4,1369,1134,49714.16178901713
1769,220610010-5,457,401,16546.633357308336
1770,220610011-1,1968,1041,72029.58903802605
1771,220610011-2,324,57,11881.331142112716
1772,220610011-3,394,312,14332.50407116358
1773,220610011-4,1176,687,43465.305652801544
1774,220610012-1,1842,629,67770.76826255507
1775,220610012-2,1663,431,60994.71140407037
1776,220610012-4,44,15,1610.740298922775
1777,220610012-5,538,89,19702.38073153387
1778,220610012-6,408,252,15067.458057476284
1779,22063000001,3519,214,121378.24059382196
1780,22063000002,2784,91,95402.48354647143
1781,22063000003,3054,69,105158.66567380082
1782,22063000004,2100,46,71903.20787657259
1783,22063000005,3694,162,125000.41716536328
1784,22063000006,2279,20,78245.44280747641
1785,22063000007,1110,21,37495.46084150286
1786,22063000009,2152,263,58629.838642428855
1787,22063000010,1560,18,47050.08318845694
1788,22063000011,2241,436,56115.77215231645
1789,22063000012,2036,192,50297.39278674546
1790,22063000014,1589,67,36548.278699095215
1791,22063000015,837,20,21098.576130577232
1792,22063000016,2006,32,55149.75578167899
1793,22063000017,1643,63,48896.13980078123
1794,22063000018,2280,7,72556.50533582567
1795,22063000019,2340,24,74460.18199417093
1796,2206300001A,513,12,17625.817965808186
1797,2206300001B,1804,15,62281.29424085709
1798,2206300001C,1795,42,61620.35421004758
1799,2206300001D,2177,134,74843.42573919093
1800,22063000020,613,17,20246.352239659387
1801,22063000021,4667,735,160247.4144352758
1802,22063000022,1076,26,33423.6914492956
1803,22063000023,2681,98,92737.90254358535
1804,22063000024,3342,124,116345.38472772265
1805,22063000025,1793,130,61587.52875702262
1806,22063000026,1664,39,56932.76901588919
1807,22063000027,4503,1506,154594.0749711802
1808,22063000029,1877,44,61099.35686368602
1809,2206300002A,2263,149,77724.28647826203
1810,22063000030,1039,82,24924.409490553648
1811,22063000031,427,43,9539.600057637925
1812,22063000032,1177,138,27150.70303126916
1813,22063000033,646,10,21926.98543066081
1814,22063000034,1073,9,34834.935478562795
1815,22063000035,2210,473,74664.13567880304
1816,22063000036,2235,50,75529.30750709648
1817,22063000038,2091,509,51716.699906256676
1818,22063000039,1763,211,60458.71612725295
1819,2206300003A,1938,15,66142.21819375952
1820,2206300003B,861,66,29923.080694838005
1821,22063000040,2032,43,69102.27358105115
1822,22063000041,1694,165,57677.74253122143
1823,22063000043,345,7,11436.543181814362
1824,2206300004A,1889,73,64423.29326744961
