,block_vtda,total,nh_black,weighted_blk_sl_dist
175,28149000205,2077,1750,99621.59395541882
176,28149000206,412,41,21091.295512718498
177,28149000301,4156,2957,198044.28795992784
178,28149000302,2682,1941,127979.9681595645
179,28149000303,1865,1276,88511.35725589217
180,28149000401,2561,1534,120729.36317384308
181,28149000402,2546,1307,120418.6842090276
182,28149000403,2069,630,96980.11272715539
183,28149000404,1360,544,63988.898637723185
184,28149000501,2152,945,102255.34081296447
185,28149000502,2531,490,120023.01502852276
186,28149000503,1013,378,47781.938169011446
187,28149000504,1775,387,83257.83945547388
188,28149000505,1544,820,72716.94614742571
189,28149000555,858,495,40696.320398872725
190,28151000102,2510,1938,141281.54242786425
191,28151000103,2441,245,136290.70121027823
192,28151000104,725,282,39149.64553465729
193,28151000105,3839,1882,215945.03566086607
194,28151000201,4221,2698,237201.57898237524
195,28151000202,4397,3641,247275.55571267946
196,28151000204,1031,515,57301.34888086643
197,28151000301,1243,806,69948.19058227124
198,28151000302,1485,1408,83694.78040620298
199,28151000303,2053,1812,115664.27226987363
200,28151000304,2834,2216,159822.85938563384
201,28151000305,817,773,46002.33871188327
202,28151000401,3942,3574,221610.7552332036
203,28151000402,2489,1589,138699.12325957455
204,28151000403,2388,1466,133312.5196317641
205,28151000501,2580,2178,142202.70823716972
206,28151000502,238,71,13148.223955610742
207,28151000504,2621,1960,147168.68383601913
208,28151000505,3068,2865,172626.73885598357
209,28153000101,908,501,25760.05760796479
210,28153000102,1026,908,28899.409957577926
211,28153000103,515,72,14579.53121328731
212,28153000105,1241,564,34464.85333140073
213,28153000201,1816,1144,51343.32961189322
214,28153000202,254,115,7357.060292761166
215,28153000203,1143,745,32483.87023892407
216,28153000204,802,169,22997.44759556052
217,28153000301,1675,540,47285.591819341425
218,28153000302,1010,299,29378.550806919706
219,28153000303,465,263,13639.353180737982
220,28153000304,538,464,15551.742254431821
221,28153000305,252,52,7576.471063704323
222,28153000401,830,640,23392.44819707442
223,28153000402,653,169,18441.887097906136
224,28153000403,1292,175,37367.738104246004
225,28153000404,843,264,24796.987642288772
226,28153000405,433,94,12947.762699514804
227,28153000501,748,484,21065.71550519061
228,28153000502,2420,30,67343.27675027026
229,28153000503,517,6,14137.810659211284
230,28153000505,398,10,11163.973394610644
231,28155000101,209,73,8141.413562887168
232,28155000102,1528,746,57456.195621855426
233,28155000201,200,25,7809.546989278908
234,28155000202,620,48,23202.680363086754
235,28155000204,669,87,24838.690388425373
236,28155000205,453,24,16820.452311545916
237,28155000301,182,1,7573.076969994978
238,28155000302,663,181,24926.962860018364
239,28155000303,575,35,22982.327964313285
240,28155000304,452,64,17473.702377948804
241,28155000401,356,9,12838.466835990814
242,28155000402,999,114,35507.05226674419
243,28155000403,910,268,31988.415944285673
244,28155000501,453,10,16327.46155065418
245,28155000502,501,0,17759.201985322154
246,28155000503,568,56,19774.45636036062
247,28155000504,588,41,20557.46938652455
248,28157000101,669,400,30165.18839059272
249,28157000102,847,662,37499.75403784246
250,28157000201,907,711,41400.79415766221
251,28157000202,709,492,32811.212401412755
252,28157000301,1480,930,66020.63492409368
253,28157000401,1051,867,48078.407864647226
254,28157000402,383,186,18011.72812528632
255,28157000501,1514,978,69438.04327916028
256,28157000502,740,296,34575.14725474129
257,28157000503,287,242,13072.246612286359
258,28159000102,3767,1596,145478.0424317368
259,28159000104,538,110,20758.525632030967
260,28159000201,1047,256,40508.19432279581
261,28159000203,2095,304,79356.14983983009
262,28159000204,615,258,23620.726867560283
263,28159000301,1666,1406,64135.65540048077
264,28159000303,1771,562,68473.3404579001
265,28159000401,880,750,34371.166360419156
266,28159000402,1967,1650,75739.16710858897
267,28159000405,635,203,25246.152027062417
268,28159000502,1540,550,59842.260535566704
269,28159000504,1193,433,47461.71716683879
270,28161000101,841,324,30946.588932535455
271,28161000102,2170,663,77474.87796143634
272,28161000201,1367,618,48407.62867018466
273,28161000202,881,567,31174.49613873391
274,28161000301,999,147,36763.25494232738
275,28161000302,1668,361,59047.36776111947
276,28161000401,1478,608,58242.62106732398
277,28161000402,715,567,27179.66968228535
278,28161000502,293,82,11058.18518799038
279,28161000503,1237,483,47404.048747183144
280,28161000504,353,102,14250.404987960308
281,28161000505,479,93,19361.806905443824
282,28163000101,766,123,38812.35630415427
283,28163000102,580,106,28446.24916327389
284,28163000103,508,131,25049.746982622044
285,28163000104,640,314,31148.43575656836
286,28163000105,716,48,35571.8380174592
287,28163000107,726,77,36158.03598942952
288,28163000108,113,28,5773.380867775852
289,28163000109,117,20,5980.654565022109
290,28163000110,818,454,40002.232588690196
291,28163000111,479,67,24259.907590002782
292,28163000201,1030,305,50404.7499724885
293,28163000202,740,428,35475.01604474698
294,28163000203,532,416,25280.362933036715
295,28163000204,1224,751,62474.382146147254
296,28163000205,570,168,28785.9514421442
297,28163000301,1248,1190,63643.56525479854
298,28163000302,1355,1136,69098.30367954419
299,28163000303,762,730,38862.911386630796
300,28163000304,1184,668,60355.29995014649
301,28163000401,432,323,20933.014917779947
302,28163000402,535,153,27514.446383048667
303,28163000403,248,29,12576.293298136743
